lat,lon,value,date
32.02928150547167,-80.05131609287709,0.0,2014-07-03T18:21:18Z
32.03095198536145,-79.98721076974275,0.0,2014-07-03T18:21:18Z
32.03258842635838,-79.92310308485871,0.0,2014-07-03T18:21:18Z
32.03419082517995,-79.85899308658774,0.0,2014-07-03T18:21:18Z
32.03575917861246,-79.79488082331052,0.0,2014-07-03T18:21:18Z
32.0372934835113,-79.73076634342529,0.0,2014-07-03T18:21:18Z
32.03879373680098,-79.66664969534746,0.0,2014-07-03T18:21:18Z
32.040259935475234,-79.60253092750936,0.0,2014-07-03T18:21:18Z
32.04169207659721,-79.53841008835978,0.0,2014-07-03T18:21:18Z
32.04309015729954,-79.47428722636366,0.0,2014-07-03T18:21:18Z
32.044454174784505,-79.41016239000182,0.0,2014-07-03T18:21:18Z
32.045784126324136,-79.34603562777053,0.0,2014-07-03T18:21:18Z
32.04708000926041,-79.28190698818135,0.0,2014-07-03T18:21:18Z
32.048341821005266,-79.21777651976078,0.0,2014-07-03T18:21:18Z
32.04956955904086,-79.15364427104993,0.0,2014-07-03T18:21:18Z
32.0507632209196,-79.08951029060442,0.0,2014-07-03T18:21:18Z
32.0519228042643,-79.02537462699401,0.0,2014-07-03T18:21:18Z
32.05304830676832,-78.96123732880248,0.0,2014-07-03T18:21:18Z
32.054139726195594,-78.89709844462735,0.0,2014-07-03T18:21:18Z
32.05519706038082,-78.8329580230798,0.0,2014-07-03T18:21:18Z
32.056220307229474,-78.76881611278442,0.0,2014-07-03T18:21:18Z
32.057209464717886,-78.70467276237918,0.0,2014-07-03T18:21:18Z
32.05816453089331,-78.6405280205152,0.0,2014-07-03T18:21:18Z
32.05908550387392,-78.57638193585674,0.0,2014-07-03T18:21:18Z
32.05997238184884,-78.51223455708107,0.0,2014-07-03T18:21:18Z
32.060825163078086,-78.44808593287839,0.0,2014-07-03T18:21:18Z
32.06164384589252,-78.38393611195175,0.0,2014-07-03T18:21:18Z
32.06242842869379,-78.31978514301714,0.0,2014-07-03T18:21:18Z
32.06317890995418,-78.2556330748032,0.0,2014-07-03T18:21:18Z
32.063895288216436,-78.19147995605135,0.0,2014-07-03T18:21:18Z
32.06457756209361,-78.12732583551562,0.0,2014-07-03T18:21:18Z
32.06522573026878,-78.06317076196265,0.0,2014-07-03T18:21:18Z
32.06583979149448,-77.9990147841717,0.0,2014-07-03T18:21:18Z
32.06641974459368,-77.93485795093396,0.0,2014-07-03T18:21:18Z
32.066965588457464,-77.87070031105323,0.0,2014-07-03T18:21:18Z
32.06747732204599,-77.80654191334517,0.0,2014-07-03T18:21:18Z
32.0679549443877,-77.74238280663725,0.0,2014-07-03T18:21:18Z
32.06839845457886,-77.67822303976837,0.0,2014-07-03T18:21:18Z
32.06880785178315,-77.61406266158856,23.0,2014-07-03T18:21:18Z
32.06918313523112,-77.54990172095856,20.507856369099361,2014-07-03T18:21:18Z
32.069524304219705,-77.4857402667493,21.832519881208665,2014-07-03T18:21:18Z
32.069831358111756,-77.4215783478414,22.054489671480049,2014-07-03T18:21:18Z
32.070104296335515,-77.35741601312446,22.168294488828565,2014-07-03T18:21:18Z
32.07034311838416,-77.29325331149646,23.168888151062916,2014-07-03T18:21:18Z
32.07054782381532,-77.22909029186282,23.336202237654156,2014-07-03T18:21:18Z
32.07071841225069,-77.16492700313577,22.629504945393631,2014-07-03T18:21:18Z
32.07085488337563,-77.10076349423328,21.634857329060271,2014-07-03T18:21:18Z
32.07095723693884,-77.03659981407809,0.0,2014-07-03T18:21:18Z
32.07102547275211,-76.97243601159683,21.708419050122433,2014-07-03T18:21:18Z
32.07105959069006,-76.90827213571879,21.825236354072626,2014-07-03T18:21:18Z
32.07105959069006,-76.84410823537497,21.917098074955899,2014-07-03T18:21:18Z
32.07102547275211,-76.77994435949694,22.836492469134804,2014-07-03T18:21:18Z
32.07095723693884,-76.71578055701568,21.726238733216448,2014-07-03T18:21:18Z
32.07085488337563,-76.65161687686049,21.599841170586409,2014-07-03T18:21:18Z
32.07071841225069,-76.58745336795799,21.583340811050032,2014-07-03T18:21:18Z
32.07054782381532,-76.52329007923093,21.165993299538602,2014-07-03T18:21:18Z
32.07034311838416,-76.45912705959731,21.155283922465063,2014-07-03T18:21:18Z
32.070104296335515,-76.3949643579693,21.210938868392905,2014-07-03T18:21:18Z
32.06983135811175,-76.33080202325236,0.0,2014-07-03T18:21:18Z
32.069524304219705,-76.26664010434446,0.0,2014-07-03T18:21:18Z
32.06918313523112,-76.2024786501352,0.0,2014-07-03T18:21:18Z
32.06880785178315,-76.1383177095052,0.0,2014-07-03T18:21:18Z
32.06839845457886,-76.0741573313254,0.0,2014-07-03T18:21:18Z
32.0679549443877,-76.00999756445651,0.0,2014-07-03T18:21:18Z
32.06747732204599,-75.9458384577486,0.0,2014-07-03T18:21:18Z
32.066965588457464,-75.88168006004052,0.0,2014-07-03T18:21:18Z
32.06641974459368,-75.8175224201598,0.0,2014-07-03T18:21:18Z
32.06583979149448,-75.75336558692206,0.0,2014-07-03T18:21:18Z
32.06522573026878,-75.68920960913111,0.0,2014-07-03T18:21:18Z
32.06457756209361,-75.62505453557814,0.0,2014-07-03T18:21:18Z
32.063895288216436,-75.56090041504241,0.0,2014-07-03T18:21:18Z
32.06317890995418,-75.49674729629056,0.0,2014-07-03T18:21:18Z
32.06242842869379,-75.43259522807662,0.0,2014-07-03T18:21:18Z
32.06164384589252,-75.368444259142,0.0,2014-07-03T18:21:18Z
32.060825163078086,-75.30429443821538,0.0,2014-07-03T18:21:18Z
