lat,lon,value,date
26.730781344405507,-98.09327401998978,0.0,2017-08-25T12:08:59Z
26.73214326868546,-98.03239845524291,0.0,2017-08-25T12:08:59Z
26.733477433327803,-97.97152141052379,0.0,2017-08-25T12:08:59Z
26.734783836155213,-97.9106429161685,0.0,2017-08-25T12:08:59Z
26.736062475036302,-97.84976300252205,0.0,2017-08-25T12:08:59Z
26.737313347885678,-97.78888169993823,0.0,2017-08-25T12:08:59Z
26.738536452664093,-97.72799903877939,0.0,2017-08-25T12:08:59Z
26.73973178737846,-97.66711504941628,0.0,2017-08-25T12:08:59Z
26.74089935008202,-97.6062297622279,0.0,2017-08-25T12:08:59Z
26.74203913887439,-97.54534320760128,0.0,2017-08-25T12:08:59Z
26.74315115190168,-97.4844554159314,0.0,2017-08-25T12:08:59Z
26.744235387356593,-97.42356641762102,0.0,2017-08-25T12:08:59Z
26.7452918434785,-97.36267624308056,0.0,2017-08-25T12:08:59Z
26.746320518553613,-97.30178492272796,0.0,2017-08-25T12:08:59Z
26.747321410914974,-97.24089248698868,0.0,2017-08-25T12:08:59Z
26.74829451894237,-97.17999896629567,0.0,2017-08-25T12:08:59Z
26.74923984106347,-97.11910439108854,0.0,2017-08-25T12:08:59Z
26.750157375752313,-97.05820879181475,0.0,2017-08-25T12:08:59Z
26.75104712153045,-96.99731219892877,0.0,2017-08-25T12:08:59Z
26.751909076966744,-96.93641464289213,0.0,2017-08-25T12:08:59Z
26.752743240677418,-96.87551615417355,0.0,2017-08-25T12:08:59Z
26.75354961132614,-96.8146167632489,0.0,2017-08-25T12:08:59Z
26.754328187624008,-96.75371650060116,0.0,2017-08-25T12:08:59Z
26.755078968329627,-96.69281539672048,0.0,2017-08-25T12:08:59Z
26.75580195224904,-96.63191348210424,0.0,2017-08-25T12:08:59Z
26.75649713823572,-96.57101078725712,0.0,2017-08-25T12:08:59Z
26.75716452519055,-96.51010734269109,0.0,2017-08-25T12:08:59Z
26.757804112061702,-96.4492031789255,0.0,2017-08-25T12:08:59Z
26.75841589784456,-96.38829832648719,0.0,2017-08-25T12:08:59Z
26.758999881581563,-96.3273928159105,0.0,2017-08-25T12:08:59Z
26.759556062362066,-96.26648667773736,0.0,2017-08-25T12:08:59Z
26.760084439322096,-96.20557994251733,0.0,2017-08-25T12:08:59Z
26.760585011644157,-96.1446726408076,0.0,2017-08-25T12:08:59Z
26.76105777855697,-96.08376480317307,0.0,2017-08-25T12:08:59Z
26.76150273933513,-96.02285646018628,0.0,2017-08-25T12:08:59Z
26.761919893298852,-95.96194764242739,0.0,2017-08-25T12:08:59Z
26.76230923981356,-95.9010383804841,0.0,2017-08-25T12:08:59Z
26.762670778289547,-95.8401287049515,0.0,2017-08-25T12:08:59Z
26.76300450818157,-95.77921864643196,24.5,2017-08-25T12:08:59Z
26.763310428988458,-95.71830823553483,25.879150372951649,2017-08-25T12:08:59Z
26.76358854025269,-95.65739750287626,25.066968956124395,2017-08-25T12:08:59Z
26.763838841559963,-95.59648647907879,23.881331649430916,2017-08-25T12:08:59Z
26.76406133253882,-95.53557519477101,25.515475428791024,2017-08-25T12:08:59Z
26.76425601286023,-95.47466368058708,25.569826172221447,2017-08-25T12:08:59Z
26.764422882237216,-95.41375196716628,25.340019027550031,2017-08-25T12:08:59Z
26.76456194042452,-95.35284008515242,25.706911087613463,2017-08-25T12:08:59Z
26.764673187218246,-95.29192806519325,30.618300084935523,2017-08-25T12:08:59Z
26.764756622455643,-95.23101593793979,32.701070392695691,2017-08-25T12:08:59Z
26.76481224601486,-95.17010373404567,28.09382713261278,2017-08-25T12:08:59Z
26.76484005781473,-95.10919148416639,24.869017308366679,2017-08-25T12:08:59Z
26.76484005781473,-95.0482792189586,23.830387336176177,2017-08-25T12:08:59Z
26.76481224601486,-94.98736696907932,23.348606239546719,2017-08-25T12:08:59Z
26.764756622455643,-94.92645476518521,23.096953064597354,2017-08-25T12:08:59Z
26.764673187218246,-94.86554263793175,25.088730627063796,2017-08-25T12:08:59Z
26.76456194042452,-94.80463061797256,26.72626856427777,2017-08-25T12:08:59Z
26.764422882237216,-94.74371873595872,28.856801286213017,2017-08-25T12:08:59Z
26.76425601286023,-94.68280702253792,29.734762216945199,2017-08-25T12:08:59Z
26.76406133253882,-94.62189550835399,28.930331187148823,2017-08-25T12:08:59Z
26.763838841559963,-94.56098422404621,25.627268643899217,2017-08-25T12:08:59Z
26.76358854025269,-94.50007320024872,23.547843194526614,2017-08-25T12:08:59Z
26.763310428988458,-94.43916246759017,22.690744690003022,2017-08-25T12:08:59Z
26.76300450818157,-94.37825205669303,22.499999999999996,2017-08-25T12:08:59Z
26.762670778289547,-94.31734199817349,0.0,2017-08-25T12:08:59Z
26.76230923981356,-94.2564323226409,0.0,2017-08-25T12:08:59Z
26.761919893298852,-94.19552306069761,0.0,2017-08-25T12:08:59Z
26.76150273933513,-94.13461424293871,0.0,2017-08-25T12:08:59Z
26.76105777855697,-94.07370589995192,0.0,2017-08-25T12:08:59Z
26.760585011644157,-94.0127980623174,0.0,2017-08-25T12:08:59Z
26.760084439322096,-93.95189076060767,0.0,2017-08-25T12:08:59Z
26.759556062362066,-93.89098402538762,0.0,2017-08-25T12:08:59Z
26.758999881581563,-93.8300778872145,0.0,2017-08-25T12:08:59Z
26.75841589784456,-93.7691723766378,0.0,2017-08-25T12:08:59Z
26.757804112061702,-93.7082675241995,0.0,2017-08-25T12:08:59Z
26.75716452519055,-93.64736336043391,0.0,2017-08-25T12:08:59Z
